id,x,y
1,163.177,349.971
2,58.662,-252.594
3,311.219,171.818
4,376.332,-140.49
5,5.259,-506.797
6,-61.041,-265.171
7,-600.124,80.197
8,495.094,58.43
9,145.217,-411.146
10,-233.06,607.013
11,-343.054,278.056
12,27.383,-506.396
13,-375.341,283.303
14,-311.335,-233.588
15,-389.827,315.021
16,61.102,-503.923
17,-334.492,-145.501
18,-236.964,-462.819
19,-163.475,588.32
20,86.636,172.495
21,584.573,-204.592
22,-419.587,133.611
23,44.264,-505.44
24,-363.508,-392.301
25,45.026,631.562
26,-73.537,184.753
27,272.573,359.915
28,-458.262,337.511
29,-201.613,-177.15
30,604.629,-135.255
31,-210.486,-152.57
32,328.704,433.503
33,188.438,56.78
34,186.284,-43.439
35,-518.999,231.704
36,-11.647,-506.45
37,-157.014,-178.811
38,-9.524,-141.364
39,223.515,-73.996
40,148.073,503.937
41,444.295,-256.47
42,-155.555,-97.957
43,380.402,-163.837
44,-339.26,-44.137
45,-138.264,-438.08
46,-464.036,263.187
47,-527.908,70.68
48,-489.738,-99.641
49,75.031,265.265
50,-252.361,330.493
51,484.954,-286.958
52,143.91,-310.053
53,77.88,-501.844
54,70.437,-185.261
55,506.745,85.333
56,-466.104,326.423
57,658.917,-37.572
58,459.761,-294.063
59,-99.746,-125.65
60,514.759,230.164
61,-208.574,-376.23
62,-171.579,-240.909
63,-538.515,181.024
64,442.97,258.715
65,149.823,187.626
66,324.997,-415.687
67,-102.488,-309.656
68,6.056,-394.977
69,197.439,-46.216
70,-423.025,-325.937
71,-24.148,-446.085
72,-78.881,-499.44
73,-181.398,-293.94
74,307.273,-389.123
75,-335.059,-287.839
76,-441.014,-331.274
77,252.362,-462.265
78,379.432,367.739
79,-256.768,-344.139
80,103.825,207.192
81,-59.913,571
82,527.391,-143.816
83,563.851,27.03
84,534.178,181.345
85,-50.047,-416.303
86,-38.187,555.478
87,223.492,-360.266
88,-416.433,-362.177
89,69.743,-442.784
90,446.949,342.368
91,-521.902,-269.478
92,1.71,184.177
93,-171.671,-44.504
94,-44.63,-268.86
95,-380.772,-326.108
96,42.004,-381.578
97,-494.934,68.828
98,457.737,100.329
99,-265.614,-23.764
100,177.818,95.993
101,-177.314,584.127
102,397.675,298.307
103,-24.969,271.911
104,-541.179,273.044
105,211.234,-397.912
106,278.235,270.823
107,562.03,259.583
108,-73.06,-289.05
109,-492.355,85.563
110,-235.519,-6.126
111,-208.772,-424.198
112,-340.198,36.022
113,289.128,-365.474
114,-515.388,-281.899
115,-113.431,339.503
116,79.848,608.245
117,215.869,190.181
118,589.236,-190.921
119,9.565,178.591
120,-433.065,-341.768
121,305.267,390.663
122,-28.533,-505.541
123,595.109,-82.911
124,157.719,483.925
125,434.758,-130.96
126,-562.836,318.224
127,90.387,204.342
128,296.892,77.844
129,-565.093,-218.524
130,154.452,-230.829
131,313.862,306.662
132,-114.415,-264.247
133,94.579,-499.207
134,-212.503,119.932
135,405.296,-364.426
136,116.068,-479.183
137,-147.244,350.672
138,-386.995,-25.384
139,166.04,-448.707
140,156.509,-421.512
141,283.447,-334.323
142,342.781,358.95
143,375.705,253.303
144,-409.972,287.815
145,-148.703,-256.303
146,631.417,-103.107
147,503.346,253.834
148,-611.461,-132.645
149,115.773,-279.634
150,245.973,543.613
151,42.101,-474.717
152,312.322,-191.569
153,656.233,70.035
154,-45.379,-504.068
155,182.836,-426.861
156,-1.761,-250.107
157,352.828,-101.677
158,296.539,29.783
159,-451.86,-283.891
160,463.478,-320.008
161,-468.829,1.228
162,482.204,-30.472
163,-260.142,468.878
164,194.843,506.05
165,-488.828,-290.734
166,-73.591,213.881
167,235.752,-5.688
168,-360.547,-279.017
169,111.179,-496.014
170,578.958,-60.099
171,235.95,452.228
172,269.578,-230.451
173,529.894,-23.943
174,422.033,-345.253
175,173.675,-385.825
176,-248.045,401.796
177,478.055,-298.142
178,42.733,297.864
179,-642.062,-68.367
180,274.421,-358.545
181,510.192,-278.425
182,450.553,-58.265
183,-124.524,-323.442
184,-339.487,348.284
185,238.547,-433.524
186,-7.961,475.759
187,50.489,-368.816
188,-262.935,271.77
189,-276.268,-382.41
190,-621.475,176.013
191,506.284,-157.161
192,-608.158,-147.219
193,-497.215,-49.416
194,-62.169,-502.034
195,-176.97,-147.121
196,-509.42,365.29
197,-466.998,-325.124
198,-513.688,50.102
199,204.815,622.187
200,-61.893,202.583
201,127.663,-492.27
202,155.751,282.054
203,530.636,-131.514
204,-346.245,-70.058
205,-409.679,229.809
206,-344.327,365.096
207,-84.119,186.7
208,211.469,144.587
209,14.019,523.22
210,89.307,-425.853
211,492.877,74.652
212,-302.882,322.242
213,-73.24,-137.541
214,413.778,-354.938
215,148.388,-152.496
216,-454.726,-167.706
217,-132.479,504.284
218,131.678,543.243
219,-491.812,-157.546
220,503.488,-290.207
221,-238.642,-171.95
222,564.775,-140.112
223,-456.159,-309.738
224,214.497,-14.868
225,-505.559,-168.558
226,159.922,500.473
227,128.149,-202.276
228,358.544,409.691
229,204.93,-39.412
230,198.662,-389.14
231,-69.16,648.342
232,318.392,440.965
233,-93.496,530.254
234,-326.136,-189.006
235,470.047,310.43
236,73.673,-471.332
237,-528.118,-155.173
238,232.212,529.056
239,-517.9,352.989
240,-424.869,-352.071
241,-415.253,389.999
242,52.353,-123.015
243,272.347,-243.917
244,480.844,325.859
245,175.244,630.817
246,-381.62,-374.358
247,593.575,-177.144
248,-101.616,-419.834
249,23.673,242.187
250,-98.116,-380.686
251,144.012,-487.978
252,-165.661,-103.849
253,-483.317,-264.64
254,-425.878,159.8
255,199.635,136.069
256,529.756,193.718
257,-71.144,-118.891
258,-95.499,-496.291
259,-108.515,-248.166
260,149.268,9.789
261,-218.938,-33.939
262,-451.405,-52.692
263,271.346,531.744
264,-292.57,408.658
265,-233.744,393.733
266,582.057,7.564
267,225.785,-151.21
268,-86.244,-285.063
269,192.071,-471.869
270,-397.521,331.705
271,39.656,474.89
272,-26.271,-474.823
273,312.389,211.544
274,114.165,-380.213
275,176.234,-477.772
276,-370.266,153.88
277,-482.264,400.944
278,-333.199,-224.244
279,-515.784,-192.692
280,389.762,140.604
281,657.704,54.711
282,-162.051,22.127
283,-158.07,358.752
284,479.844,182.851
285,-318.536,286.376
286,135.78,-458.298
287,-75.686,297.767
288,-15.15,461.051
289,315.106,-423.066
290,147.257,25.743
291,-209.036,-407.824
292,350.068,-287.055
293,-391.447,-312.97
294,366.405,472.751
295,160.208,-483.144
296,374.941,418.765
297,-140.742,-422.011
298,409.172,-226.868
299,-222.531,-400.379
300,-2.835,-491.298
301,598.477,276.668
302,75.655,-388.997
303,370.545,307.476
304,326.324,-232.716
305,-515.961,-11.646
306,371.015,445.157
307,349.143,-144.794
308,659.624,-22.194
309,187.436,324.668
310,194.701,-320.527
311,435.616,-300.411
312,-192.361,-77.497
313,113.662,-434.32
314,76.972,456.284
315,-612.462,205.501
316,-221.319,8.368
317,-281.981,455.735
318,-379.086,328.103
319,173.511,-166.99
320,-36.315,-190.869
321,-204.274,534.633
322,548.586,-243.754
323,-213.971,312.908
324,-284.13,302.864
325,284.429,-443.775
326,44.827,232.658
327,-470.812,-250.672
328,101.564,-79.025
329,-433.826,397.565
330,83.874,-106.288
331,-595.956,-107.134
332,-251.903,132.268
333,296.13,518.694
334,-22.903,256.026
335,549.101,-191.997
336,-643.493,-53.014
337,-333.877,-374.876
338,-176.168,455.916
339,239.535,-203.826
340,-112.002,-492.588
341,-292.235,-179.77
342,498.532,-6.923
343,-54.884,-302.786
344,-223.296,177.476
345,-299.878,-423.703
346,-410.538,-159.666
347,-554.663,-192.04
348,173.904,-36.447
349,400.243,-213.248
350,-474.545,-313.834
351,410.056,61.879
352,-149.578,224.5
353,-126.468,-75.93
354,319.707,-319.843
355,-372.67,-383.437
356,-432.125,342.974
357,230.323,129.102
358,-254.99,345.495
359,-63.136,-170.321
360,-549.972,-205.257
361,597.588,-163.269
362,-329.337,-273.603
363,-128.374,-488.337
364,-360.055,55.231
365,470.896,-309.161
366,-19.851,120.026
367,-5.21,-299.723
368,101.429,-383.568
