id,x,y
1,-90.678,38.596
2,90.678,38.596
3,-73.729,43.86
4,73.729,43.86
5,-114.407,49.123
6,114.407,49.123
7,-151.695,56.14
8,-95.763,56.14
9,95.763,56.14
10,151.695,56.14
11,-78.814,61.404
12,-60.169,61.404
13,60.169,61.404
14,78.814,61.404
15,-173.729,63.158
16,173.729,63.158
17,-136.441,64.912
18,136.441,64.912
19,-119.492,70.175
20,119.492,70.175
21,-195.763,71.93
22,195.763,71.93
23,-158.475,73.684
24,-43.22,73.684
25,43.22,73.684
26,158.475,73.684
27,-99.153,75.439
28,99.153,75.439
29,-78.814,78.947
30,-60.169,78.947
31,60.169,78.947
32,78.814,78.947
33,-139.831,80.702
34,139.831,80.702
35,-22.881,82.456
36,22.881,82.456
37,-178.814,84.211
38,178.814,84.211
39,-217.797,85.965
40,-122.881,85.965
41,0.847,85.965
42,122.881,85.965
43,217.797,85.965
44,-38.136,91.228
45,38.136,91.228
46,-200.847,92.982
47,-160.169,92.982
48,160.169,92.982
49,200.847,92.982
50,-55.085,96.491
51,55.085,96.491
52,-75.424,98.246
53,-12.712,98.246
54,12.712,98.246
55,75.424,98.246
56,-143.22,100
57,143.22,100
58,-180.508,103.509
59,-122.881,103.509
60,122.881,103.509
61,180.508,103.509
62,-105.932,107.018
63,-29.661,107.018
64,27.966,107.018
65,105.932,107.018
66,-238.136,110.526
67,0.847,110.526
68,238.136,110.526
69,-161.864,112.281
70,161.864,112.281
71,-48.305,114.035
72,48.305,114.035
73,-217.797,117.544
74,217.797,117.544
75,-141.525,119.298
76,-68.644,119.298
77,68.644,119.298
78,141.525,119.298
79,-199.153,122.807
80,-122.881,122.807
81,-104.237,122.807
82,-87.288,122.807
83,-16.102,122.807
84,16.102,122.807
85,87.288,122.807
86,104.237,122.807
87,122.881,122.807
88,199.153,122.807
89,-265.254,124.561
90,265.254,124.561
91,-180.508,126.316
92,180.508,126.316
93,-244.915,131.579
94,244.915,131.579
95,-160.169,133.333
96,160.169,133.333
97,-222.881,136.842
98,-63.559,136.842
99,0.847,136.842
100,63.559,136.842
101,222.881,136.842
102,-139.831,138.596
103,-80.508,138.596
104,80.508,138.596
105,139.831,138.596
106,-204.237,140.351
107,-119.492,140.351
108,119.492,140.351
109,204.237,140.351
110,-100.847,142.105
111,100.847,142.105
112,-183.898,143.86
113,183.898,143.86
114,-39.831,145.614
115,39.831,145.614
116,-272.034,149.123
117,-12.712,149.123
118,12.712,149.123
119,272.034,149.123
120,-55.085,150.877
121,55.085,150.877
122,-250,152.632
123,250,152.632
124,-227.966,157.895
125,-134.746,157.895
126,-73.729,157.895
127,-27.966,157.895
128,27.966,157.895
129,73.729,157.895
130,134.746,157.895
131,227.966,157.895
132,-112.712,159.649
133,-92.373,159.649
134,0.847,159.649
135,92.373,159.649
136,112.712,159.649
137,-205.932,161.404
138,205.932,161.404
139,-185.593,163.158
140,-166.949,163.158
141,166.949,163.158
142,185.593,163.158
143,-44.915,166.667
144,44.915,166.667
145,-300.847,171.93
146,-63.559,171.93
147,-14.407,171.93
148,14.407,171.93
149,63.559,171.93
150,300.847,171.93
151,-277.119,173.684
152,277.119,173.684
153,-255.085,175.439
154,255.085,175.439
155,-83.898,177.193
156,83.898,177.193
157,-126.271,178.947
158,-104.237,178.947
159,104.237,178.947
160,126.271,178.947
161,-146.61,180.702
162,-31.356,180.702
163,31.356,180.702
164,146.61,180.702
165,-209.322,182.456
166,-187.288,182.456
167,-166.949,182.456
168,166.949,182.456
169,187.288,182.456
170,209.322,182.456
171,0.847,184.211
172,-51.695,187.719
173,51.695,187.719
174,-309.322,194.737
175,-126.271,194.737
176,-72.034,194.737
177,-17.797,194.737
178,17.797,194.737
179,72.034,194.737
180,126.271,194.737
181,309.322,194.737
182,-285.593,196.491
183,-261.864,196.491
184,-239.831,196.491
185,239.831,196.491
186,261.864,196.491
187,285.593,196.491
188,-144.915,200
189,144.915,200
190,-165.254,201.754
191,165.254,201.754
192,-187.288,203.509
193,-36.441,203.509
194,36.441,203.509
195,187.288,203.509
196,0.847,207.018
197,-102.542,208.772
198,102.542,208.772
199,-121.186,214.035
200,121.186,214.035
201,-222.881,215.789
202,222.881,215.789
203,-243.22,217.544
204,-77.119,217.544
205,77.119,217.544
206,243.22,217.544
207,-319.492,219.298
208,-292.373,219.298
209,-268.644,219.298
210,-139.831,219.298
211,139.831,219.298
212,266.949,219.298
213,292.373,219.298
214,319.492,219.298
215,-161.864,222.807
216,161.864,222.807
217,-95.763,226.316
218,-51.695,226.316
219,51.695,226.316
220,95.763,226.316
221,-26.271,229.825
222,26.271,229.825
223,0.847,231.579
224,-202.542,233.333
225,-114.407,233.333
226,114.407,233.333
227,202.542,233.333
228,-68.644,235.088
229,68.644,235.088
230,-224.576,236.842
231,224.576,236.842
232,-248.305,240.351
233,-134.746,240.351
234,134.746,240.351
235,248.305,240.351
236,-272.034,242.105
237,-41.525,242.105
238,41.525,242.105
239,272.034,242.105
240,-299.153,243.86
241,-87.288,243.86
242,87.288,243.86
243,299.153,243.86
244,-327.966,245.614
245,-14.407,245.614
246,14.407,245.614
247,327.966,245.614
248,-182.203,249.123
249,182.203,249.123
250,-107.627,252.632
251,-58.475,252.632
252,58.475,252.632
253,107.627,252.632
254,-204.237,254.386
255,204.237,254.386
256,-29.661,257.895
257,29.661,257.895
258,-227.966,259.649
259,0.847,259.649
260,227.966,259.649
261,-251.695,263.158
262,-161.864,263.158
263,-77.119,263.158
264,77.119,263.158
265,161.864,263.158
266,251.695,263.158
267,-278.814,268.421
268,278.814,268.421
269,-182.203,270.175
270,-46.61,270.175
271,46.61,270.175
272,182.203,270.175
273,-305.932,271.93
274,305.932,271.93
275,-336.441,273.684
276,-97.458,273.684
277,-16.102,273.684
278,16.102,273.684
279,97.458,273.684
280,336.441,273.684
281,-138.136,275.439
282,138.136,275.439
283,-204.237,277.193
284,204.237,277.193
285,-227.966,284.211
286,-158.475,284.211
287,158.475,284.211
288,227.966,284.211
289,-114.407,285.965
290,114.407,285.965
291,0.847,289.474
292,-255.085,291.228
293,255.085,291.228
294,-180.508,292.982
295,180.508,292.982
296,-90.678,294.737
297,90.678,294.737
298,-282.203,296.491
299,-133.051,296.491
300,133.051,296.491
301,282.203,296.491
302,-314.407,300
303,-65.254,300
304,65.254,300
305,314.407,300
306,-202.542,301.754
307,202.542,301.754
308,-344.915,303.509
309,344.915,303.509
310,-107.627,305.263
311,-39.831,305.263
312,39.831,305.263
313,107.627,305.263
314,-155.085,307.018
315,-12.712,307.018
316,12.712,307.018
317,155.085,307.018
318,-227.966,310.526
319,227.966,310.526
320,-82.203,314.035
321,82.203,314.035
322,-177.119,317.544
323,177.119,317.544
324,-256.78,319.298
325,-127.966,319.298
326,-55.085,319.298
327,55.085,319.298
328,127.966,319.298
329,256.78,319.298
330,-27.966,322.807
331,27.966,322.807
332,0.847,324.561
333,-322.881,326.316
334,322.881,326.316
335,-200.847,328.07
336,-100.847,328.07
337,100.847,328.07
338,200.847,328.07
339,-353.39,329.825
340,-150,329.825
341,150,329.825
342,353.39,329.825
343,-72.034,335.088
344,72.034,335.088
345,-227.966,338.596
346,227.966,338.596
347,-43.22,340.351
348,43.22,340.351
349,-121.186,342.105
350,-14.407,342.105
351,14.407,342.105
352,121.186,342.105
353,-173.729,343.86
354,173.729,343.86
355,-299.153,347.368
356,299.153,347.368
357,-90.678,350.877
358,90.678,350.877
359,-329.661,354.386
360,329.661,354.386
361,-199.153,356.14
362,-143.22,356.14
363,-61.864,356.14
364,61.864,356.14
365,143.22,356.14
366,199.153,356.14
367,-31.356,359.649
368,31.356,359.649
369,-365.254,361.404
370,0.847,361.404
371,365.254,361.404
372,-275.424,364.912
373,275.424,364.912
374,-229.661,366.667
375,-112.712,366.667
376,112.712,366.667
377,229.661,366.667
378,-168.644,371.93
379,168.644,371.93
380,-304.237,373.684
381,304.237,373.684
382,-80.508,375.439
383,80.508,375.439
384,-253.39,380.702
385,-48.305,380.702
386,48.305,380.702
387,253.39,380.702
388,-16.102,382.456
389,16.102,382.456
390,-136.441,384.211
391,136.441,384.211
392,-338.136,385.965
393,338.136,385.965
394,-372.034,389.474
395,372.034,389.474
396,-278.814,392.982
397,-102.542,392.982
398,102.542,392.982
399,278.814,392.982
400,-231.356,394.737
401,231.356,394.737
402,-161.864,400
403,-68.644,400
404,68.644,400
405,161.864,400
406,-34.746,405.263
407,34.746,405.263
408,-311.017,407.018
409,-207.627,407.018
410,0.847,407.018
411,207.627,407.018
412,311.017,407.018
413,-255.085,408.772
414,255.085,408.772
415,-343.22,414.035
416,343.22,414.035
417,-183.898,417.544
418,183.898,417.544
419,-88.983,421.053
420,88.983,421.053
421,-378.814,422.807
422,-231.356,422.807
423,231.356,422.807
424,378.814,422.807
425,-283.898,424.561
426,283.898,424.561
427,-158.475,428.07
428,158.475,428.07
429,-12.712,429.825
430,12.712,429.825
431,-205.932,435.088
432,205.932,435.088
433,-314.407,436.842
434,-133.051,436.842
435,133.051,436.842
