id,x,y,z
1,13.17058637,-125.3097588,0
2,38.93614129,-119.8331211,0
3,63,-109.1192009,0
4,84.3104564,-93.63624801,0
5,101.9361413,-74.06094179,0
6,115.1067277,-51.24881703,0
7,123.2465977,-26.19687304,0
8,123.2465977,26.19687304,0
9,115.1067277,51.24881703,0
10,101.9361413,74.06094179,0
11,84.3104564,93.63624801,0
12,63,109.1192009,0
13,38.93614129,119.8331211,0
14,13.17058637,125.3097588,0
15,-13.17058637,125.3097588,0
16,-38.93614129,119.8331211,0
17,-63,109.1192009,0
18,-84.3104564,93.63624801,0
19,-101.9361413,74.06094179,0
20,-115.1067277,51.24881703,0
21,-123.2465977,26.19687304,0
22,-123.2465977,-26.19687304,0
23,-115.1067277,-51.24881703,0
24,-101.9361413,-74.06094179,0
25,-84.3104564,-93.63624801,0
26,-63,-109.1192009,0
27,-38.93614129,-119.8331211,0
28,-13.17058637,-125.3097588,0
29,29.27396607,-137.7231822,0
30,57.26851935,-128.6272004,0
31,82.76016352,-113.9095928,0
32,104.6347914,-94.21358938,0
33,121.9363769,-70.4,0
34,133.9087575,-43.50959281,0
35,140.0286829,-14.71760763,0
36,140.0286829,14.71760763,0
37,133.9087575,43.50959281,0
38,121.9363769,70.4,0
39,104.6347914,94.21358938,0
40,82.76016352,113.9095928,0
41,57.26851935,128.6272004,0
42,29.27396607,137.7231822,0
43,1.72E-14,140.8,0
44,-29.27396607,137.7231822,0
45,-57.26851935,128.6272004,0
46,-82.76016352,113.9095928,0
47,-104.6347914,94.21358938,0
48,-121.9363769,70.4,0
49,-133.9087575,43.50959281,0
50,-140.0286829,14.71760763,0
51,-140.0286829,-14.71760763,0
52,-133.9087575,-43.50959281,0
53,-121.9363769,-70.4,0
54,-104.6347914,-94.21358938,0
55,-82.76016352,-113.9095928,0
56,-57.26851935,-128.6272004,0
57,-29.27396607,-137.7231822,0
58,15.88832642,-151.1673281,0
59,46.97058314,-144.5605905,0
60,76,-131.6358614,0
61,101.7078522,-112.9580135,0
62,122.9705831,-89.34335835,0
63,138.8589096,-61.82396975,0
64,148.6784353,-31.602577,0
65,148.6784353,31.602577,0
66,138.8589096,61.82396975,0
67,122.9705831,89.34335835,0
68,101.7078522,112.9580135,0
69,76,131.6358614,0
70,46.97058314,144.5605905,0
71,15.88832642,151.1673281,0
72,-15.88832642,151.1673281,0
73,-46.97058314,144.5605905,0
74,-76,131.6358614,0
75,-101.7078522,112.9580135,0
76,-122.9705831,89.34335835,0
77,-138.8589096,61.82396975,0
78,-148.6784353,31.602577,0
79,-148.6784353,-31.602577,0
80,-138.8589096,-61.82396975,0
81,-122.9705831,-89.34335835,0
82,-101.7078522,-112.9580135,0
83,-76,-131.6358614,0
84,-46.97058314,-144.5605905,0
85,-15.88832642,-151.1673281,0
86,33.66090274,-158.3620966,0
87,65.85066251,-147.9030096,0
88,95.16243235,-130.9798514,0
89,120.3151472,-108.3322452,0
90,140.2095129,-80.95,0
91,153.97605,-50.02985139,0
92,161.0130949,-16.9231582,0
93,161.0130949,16.9231582,0
94,153.97605,50.02985139,0
95,140.2095129,80.95,0
96,120.3151472,108.3322452,0
97,95.16243235,130.9798514,0
98,65.85066251,147.9030096,0
99,33.66090274,158.3620966,0
100,1.98E-14,161.9,0
101,-33.66090274,158.3620966,0
102,-65.85066251,147.9030096,0
103,-95.16243235,130.9798514,0
104,-120.3151472,108.3322452,0
105,-140.2095129,80.95,0
106,-153.97605,50.02985139,0
