id,x,y
1,0,81
2,-16.01,79.402
3,-31.389,74.671
4,-45.529,66.994
5,-57.872,56.673
6,-67.932,44.116
7,-75.312,29.818
8,-79.72,14.344
9,-80.982,-1.696
10,-79.049,-17.67
11,-73.997,-32.946
12,-66.025,-46.922
13,-55.448,-59.046
14,-42.683,-68.841
15,-28.234,-75.92
16,-12.671,-80.003
17,16.01,79.402
18,31.389,74.671
19,45.529,66.994
20,57.872,56.673
21,67.932,44.116
22,75.312,29.818
23,79.72,14.344
24,80.982,-1.696
25,79.049,-17.67
26,73.997,-32.946
27,66.025,-46.922
28,55.448,-59.046
29,42.683,-68.841
30,28.234,-75.92
31,12.671,-80.003
32,0,96
33,-15.982,94.66
34,-31.518,90.678
35,-46.175,84.166
36,-59.543,75.304
37,-71.248,64.34
38,-80.966,51.581
39,-88.423,37.382
40,-93.412,22.139
41,-95.794,6.279
42,-95.503,-9.757
43,-92.546,-25.52
44,-87.006,-40.571
45,-79.037,-54.49
46,-68.862,-66.888
47,-56.766,-77.419
48,-43.085,-85.789
49,-28.201,-91.764
50,-12.531,-95.179
51,15.982,94.66
52,31.518,90.678
53,46.175,84.166
54,59.543,75.304
55,71.248,64.34
56,80.966,51.581
57,88.423,37.382
58,93.412,22.139
59,95.794,6.279
60,95.503,-9.757
61,92.546,-25.52
62,87.006,-40.571
63,79.037,-54.49
64,68.862,-66.888
65,56.766,-77.419
66,43.085,-85.789
67,28.201,-91.764
68,12.531,-95.179
69,0,111
70,-15.951,109.848
71,-31.57,106.416
72,-46.534,100.775
73,-60.532,93.042
74,-73.274,83.378
75,-84.495,71.983
76,-93.962,59.095
77,-101.478,44.979
78,-106.889,29.93
79,-110.08,14.26
80,-110.987,-1.707
81,-109.59,-17.638
82,-105.918,-33.202
83,-100.048,-48.078
84,-92.1,-61.956
85,-82.242,-74.547
86,-70.676,-85.592
87,-57.643,-94.859
88,-43.414,-102.158
89,-28.283,-107.336
90,-12.566,-110.286
91,15.951,109.848
92,31.57,106.416
93,46.534,100.775
94,60.532,93.042
95,73.274,83.378
96,84.495,71.983
97,93.962,59.095
98,101.478,44.979
99,106.889,29.93
100,110.08,14.26
101,110.987,-1.707
102,109.59,-17.638
103,105.918,-33.202
104,100.048,-48.078
105,92.1,-61.956
106,82.242,-74.547
107,70.676,-85.592
108,57.643,-94.859
109,43.414,-102.158
110,28.283,-107.336
111,12.566,-110.286
112,-7.804,125.758
113,-23.293,123.828
114,-38.424,119.998
115,-52.965,114.327
116,-66.694,106.902
117,-79.399,97.836
118,-90.886,87.268
119,-100.978,75.362
120,-109.521,62.299
121,-116.383,48.28
122,-121.459,33.521
123,-124.672,18.247
124,-125.971,2.693
125,-125.338,-12.903
126,-122.781,-28.3
127,-118.34,-43.263
128,-112.083,-57.562
129,-104.106,-70.978
130,-94.532,-83.305
131,-83.507,-94.354
132,-71.201,-103.954
133,-57.802,-111.96
134,-43.516,-118.247
135,-28.562,-122.72
136,-13.171,-125.31
137,7.804,125.758
138,23.293,123.828
139,38.424,119.998
140,52.965,114.327
141,66.694,106.902
142,79.399,97.836
143,90.886,87.268
144,100.978,75.362
145,109.521,62.299
146,116.383,48.28
147,121.459,33.521
148,124.672,18.247
149,125.971,2.693
150,125.338,-12.903
151,122.781,-28.3
152,118.34,-43.263
153,112.083,-57.562
154,104.106,-70.978
155,94.532,-83.305
156,83.507,-94.354
157,71.201,-103.954
158,57.802,-111.96
159,43.516,-118.247
160,28.562,-122.72
161,13.171,-125.31
162,-7.915,142.781
163,-23.647,141.031
164,-39.089,137.554
165,-54.052,132.391
166,-68.353,125.606
167,-81.817,117.282
168,-94.278,107.521
169,-105.584,96.442
170,-115.596,84.182
171,-124.192,70.89
172,-131.266,56.73
173,-136.732,41.874
174,-140.522,26.506
175,-142.591,10.812
176,-142.912,-5.013
177,-141.482,-20.778
178,-138.319,-36.287
179,-133.461,-51.353
180,-126.968,-65.788
181,-118.919,-79.418
182,-109.413,-92.075
183,-98.566,-103.604
184,-86.512,-113.863
185,-73.397,-122.727
186,-59.384,-130.087
187,-44.642,-135.853
188,-29.354,-139.955
189,-13.706,-142.342
190,7.915,142.781
191,23.647,141.031
192,39.089,137.554
193,54.052,132.391
194,68.353,125.606
195,81.817,117.282
196,94.278,107.521
197,105.584,96.442
198,115.596,84.182
199,124.192,70.89
200,131.266,56.73
201,136.732,41.874
202,140.522,26.506
203,142.591,10.812
204,142.912,-5.013
205,141.482,-20.778
206,138.319,-36.287
207,133.461,-51.353
208,126.968,-65.788
209,118.919,-79.418
210,109.413,-92.075
211,98.566,-103.604
212,86.512,-113.863
213,73.397,-122.727
214,59.384,-130.087
215,44.642,-135.853
216,29.354,-139.955
217,13.706,-142.342
218,0,159
219,-15.64,158.229
220,-31.129,155.923
221,-46.316,152.105
222,-61.053,146.811
223,-75.199,140.093
224,-88.615,132.017
225,-101.171,122.66
226,-112.746,112.113
227,-123.227,100.479
228,-132.514,87.87
229,-140.515,74.409
230,-147.152,60.226
231,-152.363,45.459
232,-156.096,30.251
233,-158.314,14.749
234,-158.997,-0.895
235,-158.138,-16.531
236,-155.745,-32.006
237,-151.842,-47.171
238,-146.465,-61.879
239,-139.668,-75.986
240,-131.516,-89.356
241,-122.088,-101.86
242,-111.476,-113.375
243,-99.783,-123.791
244,-87.122,-133.006
245,-73.616,-140.931
246,-59.396,-147.489
247,-44.6,-152.617
248,-29.371,-156.264
249,-13.858,-158.395
250,15.64,158.229
251,31.129,155.923
252,46.316,152.105
253,61.053,146.811
254,75.199,140.093
255,88.615,132.017
256,101.171,122.66
257,112.746,112.113
258,123.227,100.479
259,132.514,87.87
260,140.515,74.409
261,147.152,60.226
262,152.363,45.459
263,156.096,30.251
264,158.314,14.749
265,158.997,-0.895
266,158.138,-16.531
267,155.745,-32.006
268,151.842,-47.171
269,146.465,-61.879
270,139.668,-75.986
271,131.516,-89.356
272,122.088,-101.86
