id,x,y,z
1,15.68526189,-78.85513654,0
2,30.76774796,-74.27991441,0
3,44.66784673,-66.85015683,0
4,56.85138521,-56.85138521,0
5,66.85015683,-44.66784673,0
6,74.27991441,-30.76774796,0
7,78.85513654,-15.68526189,0
8,80.4,-4.92E-15,0
9,78.85513654,15.68526189,0
10,74.27991441,30.76774796,0
11,66.85015683,44.66784673,0
12,56.85138521,56.85138521,0
13,44.66784673,66.85015683,0
14,30.76774796,74.27991441,0
15,15.68526189,78.85513654,0
16,9.85E-15,80.4,0
17,-15.68526189,78.85513654,0
18,-30.76774796,74.27991441,0
19,-44.66784673,66.85015683,0
20,-56.85138521,56.85138521,0
21,-66.85015683,44.66784673,0
22,-74.27991441,30.76774796,0
23,-78.85513654,15.68526189,0
24,-80.4,1.48E-14,0
25,-78.85513654,-15.68526189,0
26,-74.27991441,-30.76774796,0
27,-66.85015683,-44.66784673,0
28,-56.85138521,-56.85138521,0
29,-44.66784673,-66.85015683,0
30,-30.76774796,-74.27991441,0
31,-15.68526189,-78.85513654,0
32,15.85045904,-94.98659352,0
33,31.26855888,-91.08220038,0
34,45.83373395,-84.69332224,0
35,59.14868423,-75.99423105,0
36,70.8502126,-65.22221535,0
37,80.61913186,-52.67110763,0
38,88.18897136,-38.68326939,0
39,93.35324561,-23.64025241,0
40,95.97108668,-7.952390969,0
41,95.97108668,7.952390969,0
42,93.35324561,23.64025241,0
43,88.18897136,38.68326939,0
44,80.61913186,52.67110763,0
45,70.8502126,65.22221535,0
46,59.14868423,75.99423105,0
47,45.83373395,84.69332224,0
48,31.26855888,91.08220038,0
49,15.85045904,94.98659352,0
50,1.18E-14,96.3,0
51,-15.85045904,94.98659352,0
52,-31.26855888,91.08220038,0
53,-45.83373395,84.69332224,0
54,-59.14868423,75.99423105,0
55,-70.8502126,65.22221535,0
56,-80.61913186,52.67110763,0
57,-88.18897136,38.68326939,0
58,-93.35324561,23.64025241,0
59,-95.97108668,7.952390969,0
60,-95.97108668,-7.952390969,0
61,-93.35324561,-23.64025241,0
62,-88.18897136,-38.68326939,0
63,-80.61913186,-52.67110763,0
64,-70.8502126,-65.22221535,0
65,-59.14868423,-75.99423105,0
66,-45.83373395,-84.69332224,0
67,-31.26855888,-91.08220038,0
68,-15.85045904,-94.98659352,0
69,15.99618782,-111.2559301,0
70,31.66673939,-107.8470102,0
71,46.69264746,-102.2426363,0
72,60.76802788,-94.55689709,0
73,73.6063465,-84.94625216,0
74,84.94625216,-73.6063465,0
75,94.55689709,-60.76802788,0
76,102.2426363,-46.69264746,0
77,107.8470102,-31.66673939,0
78,111.2559301,-15.99618782,0
79,112.4,-6.88E-15,0
80,111.2559301,15.99618782,0
81,107.8470102,31.66673939,0
82,102.2426363,46.69264746,0
83,94.55689709,60.76802788,0
84,84.94625216,73.6063465,0
85,73.6063465,84.94625216,0
86,60.76802788,94.55689709,0
87,46.69264746,102.2426363,0
88,31.66673939,107.8470102,0
89,15.99618782,111.2559301,0
90,1.38E-14,112.4,0
91,-15.99618782,111.2559301,0
92,-31.66673939,107.8470102,0
93,-46.69264746,102.2426363,0
94,-60.76802788,94.55689709,0
95,-73.6063465,84.94625216,0
96,-84.94625216,73.6063465,0
97,-94.55689709,60.76802788,0
98,-102.2426363,46.69264746,0
99,-107.8470102,31.66673939,0
100,-111.2559301,15.99618782,0
101,-112.4,2.06E-14,0
102,-111.2559301,-15.99618782,0
103,-107.8470102,-31.66673939,0
104,-102.2426363,-46.69264746,0
105,-94.55689709,-60.76802788,0
106,-84.94625216,-73.6063465,0
107,-73.6063465,-84.94625216,0
108,-60.76802788,-94.55689709,0
109,-46.69264746,-102.2426363,0
110,-31.66673939,-107.8470102,0
111,-15.99618782,-111.2559301,0
112,15.66825706,-126.533615,0
113,31.09899931,-123.6491093,0
114,46.05831244,-118.8902092,0
115,60.3194285,-112.3290548,0
116,73.6661635,-104.0651063,0
117,85.89619456,-94.22363695,0
118,96.82412687,-82.95383328,0
119,106.2843041,-70.42653405,0
120,114.1333196,-56.83164036,0
121,120.2521904,-42.37523693,0
122,124.5481605,-27.27646811,0
123,126.9561075,-11.76421583,0
124,127.4395293,3.926369966,0
125,125.9910977,19.557436,0
126,122.6327695,34.89203123,0
127,117.4154535,49.69769884,0
128,110.418239,63.75,0
129,101.7471965,76.83591614,0
130,91.53377019,88.75707811,0
131,79.93278525,99.33277325,0
132,67.12010077,108.4026848,0
133,53.28994397,115.8293222,0
134,38.65196595,121.5001051,0
135,23.42806352,125.3290702,0
136,7.849015532,127.2581744,0
137,-7.849015532,127.2581744,0
138,-23.42806352,125.3290702,0
139,-38.65196595,121.5001051,0
140,-53.28994397,115.8293222,0
141,-67.12010077,108.4026848,0
142,-79.93278525,99.33277325,0
143,-91.53377019,88.75707811,0
144,-101.7471965,76.83591614,0
145,-110.418239,63.75,0
146,-117.4154535,49.69769884,0
147,-122.6327695,34.89203123,0
148,-125.9910977,19.557436,0
149,-127.4395293,3.926369966,0
150,-126.9561075,-11.76421583,0
151,-124.5481605,-27.27646811,0
152,-120.2521904,-42.37523693,0
153,-114.1333196,-56.83164036,0
154,-106.2843041,-70.42653405,0
155,-96.82412687,-82.95383328,0
156,-85.89619456,-94.22363695,0
157,-73.6661635,-104.0651063,0
158,-60.3194285,-112.3290548,0
159,-46.05831244,-118.8902092,0
160,-31.09899931,-123.6491093,0
161,-15.66825706,-126.533615,0
162,15.86318547,-143.3248037,0
163,31.53381335,-140.7098384,0
164,46.82166346,-136.3868463,0
165,61.541162,-130.4083026,0
166,75.5136342,-122.8467788,0
167,88.56947317,-113.7940615,0
168,100.5501987,-103.3600384,0
169,111.3103811,-91.67136449,0
170,120.7194062,-78.8699244,0
171,128.6630612,-65.11111027,0
172,135.044921,-50.56193546,0
173,139.7875183,-35.39900725,0
174,142.8332846,-19.80638304,0
175,144.1452483,-3.973336169,0
176,143.7074839,11.90794162,0
177,141.5253053,27.64467312,0
178,137.6252013,43.04583575,0
179,132.0545137,57.92448023,0
180,124.8808632,72.1,0
181,116.1913282,85.40032343,0
182,106.0913879,97.66400263,0
183,94.70364187,108.7421731,0
184,82.16632189,118.500361,0
185,68.63161408,126.8201149,0
186,54.26381143,133.6004445,0
187,39.23731963,138.7590456,0
188,23.73453992,142.2333,0
189,7.943655043,143.9810347,0
190,-7.943655043,143.9810347,0
191,-23.73453992,142.2333,0
192,-39.23731963,138.7590456,0
193,-54.26381143,133.6004445,0
