id,x,y,z,type
1,178.0,-184.4,0.0,MM
2,-179.2,-183.6,0.0,MM
3,203.6,-181.6,0.0,MM
4,162.0,-182.4,0.0,MM
5,124.4,-182.0,0.0,MM
6,100.8,-182.0,0.0,MM
7,-102.0,-182.0,0.0,MM
8,-162.8,-181.6,0.0,MM
9,-125.2,-181.2,0.0,MM
10,-204.4,-180.4,0.0,MM
11,44.8,-179.2,0.0,MM
12,-45.6,-179.2,0.0,MM
13,148.8,-178.8,0.0,MM
14,-150.0,-177.2,0.0,MM
15,187.6,-175.6,0.0,MM
16,112.8,-176.0,0.0,MM
17,87.6,-175.6,0.0,MM
18,57.2,-176.0,0.0,MM
19,-58.8,-175.6,0.0,MM
20,-113.2,-175.6,0.0,MM
21,18.4,-174.8,0.0,MM
22,-88.8,-174.4,0.0,MM
23,136.4,-174.0,0.0,MM
24,-20.4,-174.0,0.0,MM
25,-137.2,-173.6,0.0,MM
26,-189.2,-174.0,0.0,MM
27,33.6,-172.4,0.0,MM
28,-35.6,-172.4,0.0,MM
29,212.4,-171.6,0.0,MM
30,174.4,-171.6,0.0,MM
31,73.6,-170.8,0.0,MM
32,-74.8,-170.4,0.0,MM
33,-176.0,-170.8,0.0,MM
34,-214.4,-170.8,0.0,MM
35,-49.6,-170.0,0.0,MM
36,160.4,-169.2,0.0,MM
37,99.2,-168.8,0.0,MM
38,48.8,-169.2,0.0,MM
39,-161.2,-168.8,0.0,MM
40,123.6,-168.0,0.0,MM
41,-101.2,-168.0,0.0,MM
42,-125.2,-168.0,0.0,MM
43,236.8,-166.0,0.0,MM
44,196.4,-165.2,0.0,MM
45,147.2,-165.6,0.0,MM
46,-198.0,-165.2,0.0,MM
47,-238.0,-165.2,0.0,MM
48,62.8,-164.4,0.0,MM
49,24.8,-164.4,0.0,MM
50,-26.4,-164.4,0.0,MM
51,-64.4,-164.4,0.0,MM
52,-147.6,-164.4,0.0,MM
53,89.2,-163.6,0.0,MM
54,-90.8,-163.6,0.0,MM
55,220.0,-162.8,0.0,MM
56,183.6,-162.8,0.0,MM
57,38.8,-162.8,0.0,MM
58,133.6,-161.6,0.0,MM
59,112.8,-161.6,0.0,MM
60,-40.0,-162.0,0.0,MM
61,-184.4,-161.6,0.0,MM
62,-220.4,-162.4,0.0,MM
63,-113.2,-160.8,0.0,MM
64,-134.8,-160.8,0.0,MM
65,170.8,-159.6,0.0,MM
66,-78.4,-159.2,0.0,MM
67,77.2,-158.8,0.0,MM
68,52.8,-158.8,0.0,MM
69,-54.8,-158.0,0.0,MM
70,-171.6,-158.0,0.0,MM
71,157.6,-156.8,0.0,MM
72,101.2,-156.4,0.0,MM
73,17.2,-156.4,0.0,MM
74,-19.2,-156.4,0.0,MM
75,-102.0,-156.4,0.0,MM
76,-158.8,-156.4,0.0,MM
77,244.4,-155.6,0.0,MM
78,29.2,-155.2,0.0,MM
79,-30.8,-154.8,0.0,MM
80,66.4,-154.0,0.0,MM
81,-67.6,-154.0,0.0,MM
82,-246.0,-154.0,0.0,MM
83,228.0,-152.8,0.0,MM
84,144.4,-153.2,0.0,MM
85,90.4,-152.0,0.0,MM
86,43.6,-151.6,0.0,MM
87,-45.2,-151.6,0.0,MM
88,-92.0,-151.6,0.0,MM
89,-145.2,-152.0,0.0,MM
90,194.4,-150.4,0.0,MM
91,-229.6,-150.8,0.0,MM
92,210.0,-149.2,0.0,MM
93,180.8,-149.2,0.0,MM
94,129.2,-148.8,0.0,MM
95,-195.6,-149.6,0.0,MM
96,116.0,-147.6,0.0,MM
97,80.0,-147.6,0.0,MM
98,56.4,-147.6,0.0,MM
99,-57.2,-147.6,0.0,MM
100,-81.2,-147.6,0.0,MM
101,-116.8,-147.6,0.0,MM
102,-130.8,-147.6,0.0,MM
103,-182.0,-147.6,0.0,MM
104,-211.6,-147.6,0.0,MM
105,166.8,-146.8,0.0,MM
106,-168.4,-146.0,0.0,MM
107,103.6,-145.2,0.0,MM
108,252.4,-144.0,0.0,MM
109,154.0,-144.0,0.0,MM
110,33.6,-144.8,0.0,MM
111,-34.4,-144.0,0.0,MM
112,-104.4,-144.8,0.0,MM
113,70.0,-142.8,0.0,MM
114,-154.8,-142.8,0.0,MM
115,-252.8,-142.8,0.0,MM
116,235.2,-141.6,0.0,MM
117,-71.2,-142.0,0.0,MM
118,92.4,-141.2,0.0,MM
119,-47.6,-141.2,0.0,MM
120,47.2,-140.8,0.0,MM
121,-93.2,-140.8,0.0,MM
122,-236.4,-140.0,0.0,MM
123,140.4,-139.6,0.0,MM
124,-142.0,-139.6,0.0,MM
125,218.8,-138.8,0.0,MM
126,204.4,-138.0,0.0,MM
127,190.0,-138.0,0.0,MM
128,128.4,-138.0,0.0,MM
129,80.4,-137.6,0.0,MM
130,-219.2,-138.0,0.0,MM
131,20.8,-136.8,0.0,MM
132,-129.2,-137.2,0.0,MM
133,-191.6,-137.2,0.0,MM
134,175.6,-136.4,0.0,MM
135,60.4,-136.4,0.0,MM
136,-21.6,-136.4,0.0,MM
137,-81.6,-136.4,0.0,MM
138,-206.0,-136.8,0.0,MM
139,116.0,-135.2,0.0,MM
140,-61.2,-135.2,0.0,MM
141,-116.8,-134.8,0.0,MM
142,-177.2,-134.8,0.0,MM
143,163.2,-133.6,0.0,MM
144,36.0,-134.0,0.0,MM
145,-37.2,-133.6,0.0,MM
146,104.0,-133.2,0.0,MM
147,-164.0,-133.2,0.0,MM
148,258.8,-132.4,0.0,MM
149,-104.8,-132.4,0.0,MM
150,-260.4,-131.2,0.0,MM
151,242.0,-130.8,0.0,MM
152,150.0,-130.0,0.0,MM
153,92.8,-130.0,0.0,MM
154,-94.0,-130.0,0.0,MM
155,51.2,-129.6,0.0,MM
156,-52.4,-129.2,0.0,MM
157,-151.2,-129.6,0.0,MM
158,-243.6,-128.8,0.0,MM
159,138.4,-128.4,0.0,MM
160,27.2,-127.2,0.0,MM
161,-27.6,-127.2,0.0,MM
162,-139.2,-127.2,0.0,MM
163,225.2,-126.8,0.0,MM
164,211.2,-126.8,0.0,MM
165,127.2,-126.4,0.0,MM
166,198.8,-126.0,0.0,MM
167,80.4,-126.0,0.0,MM
168,-128.4,-126.0,0.0,MM
169,-226.4,-126.0,0.0,MM
170,184.8,-125.6,0.0,MM
171,170.8,-124.8,0.0,MM
172,114.8,-124.8,0.0,MM
173,-81.6,-125.2,0.0,MM
174,-185.6,-124.8,0.0,MM
175,-200.0,-125.2,0.0,MM
176,-211.6,-125.2,0.0,MM
177,41.2,-123.6,0.0,MM
178,-42.0,-123.6,0.0,MM
179,-116.4,-123.6,0.0,MM
180,-171.6,-123.6,0.0,MM
181,66.4,-123.2,0.0,MM
182,-66.8,-123.2,0.0,MM
183,103.6,-122.0,0.0,MM
184,265.2,-121.2,0.0,MM
185,248.0,-120.8,0.0,MM
186,-104.4,-121.2,0.0,MM
187,18.4,-120.4,0.0,MM
188,-19.2,-120.4,0.0,MM
189,-248.4,-120.4,0.0,MM
190,-266.0,-120.0,0.0,MM
191,55.6,-118.8,0.0,MM
192,-56.4,-118.8,0.0,MM
193,92.4,-118.0,0.0,MM
194,31.2,-117.6,0.0,MM
195,-32.4,-117.6,0.0,MM
196,-93.2,-117.6,0.0,MM
197,149.2,-116.0,0.0,MM
198,137.2,-116.0,0.0,MM
199,80.4,-115.2,0.0,MM
200,125.6,-114.8,0.0,MM
201,-80.8,-114.8,0.0,MM
202,-138.8,-114.8,0.0,MM
203,-150.0,-114.8,0.0,MM
204,220.0,-113.6,0.0,MM
205,206.0,-113.6,0.0,MM
206,193.2,-114.4,0.0,MM
207,179.6,-113.6,0.0,MM
208,164.4,-113.6,0.0,MM
209,45.6,-113.6,0.0,MM
210,-126.0,-114.0,0.0,MM
211,-193.6,-113.6,0.0,MM
212,-208.0,-113.6,0.0,MM
213,-180.0,-113.2,0.0,MM
214,114.0,-112.4,0.0,MM
215,68.8,-112.4,0.0,MM
216,-45.6,-112.8,0.0,MM
217,-69.6,-112.4,0.0,MM
218,-115.2,-112.4,0.0,MM
219,-165.2,-112.4,0.0,MM
220,-221.2,-112.4,0.0,MM
221,102.8,-109.6,0.0,MM
222,22.0,-110.0,0.0,MM
223,-24.4,-110.0,0.0,MM
224,270.8,-108.8,0.0,MM
225,253.2,-108.8,0.0,MM
226,236.0,-108.8,0.0,MM
227,-104.0,-108.8,0.0,MM
228,57.6,-108.0,0.0,MM
229,-58.4,-107.2,0.0,MM
230,-236.4,-108.0,0.0,MM
231,-254.4,-107.6,0.0,MM
232,-271.2,-107.6,0.0,MM
233,36.0,-106.8,0.0,MM
234,-36.8,-106.8,0.0,MM
235,93.2,-106.0,0.0,MM
236,146.8,-104.8,0.0,MM
237,134.4,-104.8,0.0,MM
238,-92.8,-105.6,0.0,MM
239,122.8,-104.4,0.0,MM
240,81.2,-104.4,0.0,MM
241,-123.6,-104.4,0.0,MM
242,186.0,-103.6,0.0,MM
243,-82.0,-103.6,0.0,MM
244,-135.6,-103.6,0.0,MM
245,-147.6,-103.6,0.0,MM
246,159.6,-102.4,0.0,MM
247,200.0,-102.0,0.0,MM
248,172.4,-102.0,0.0,MM
249,48.0,-102.0,0.0,MM
250,-186.8,-102.0,0.0,MM
251,214.0,-101.2,0.0,MM
252,70.0,-100.8,0.0,MM
253,-49.6,-101.6,0.0,MM
254,-160.4,-101.2,0.0,MM
255,-172.8,-100.8,0.0,MM
256,-200.4,-101.2,0.0,MM
257,-70.8,-100.4,0.0,MM
258,26.8,-99.6,0.0,MM
259,-214.4,-99.6,0.0,MM
260,227.6,-98.8,0.0,MM
261,-27.6,-98.8,0.0,MM
262,276.0,-97.2,0.0,MM
263,258.0,-97.2,0.0,MM
264,241.2,-97.2,0.0,MM
265,58.8,-97.2,0.0,MM
266,-59.6,-97.2,0.0,MM
267,-228.4,-97.2,0.0,MM
268,-241.2,-96.0,0.0,MM
269,-259.6,-96.4,0.0,MM
270,104.0,-95.6,0.0,MM
271,39.2,-95.6,0.0,MM
272,-40.0,-95.6,0.0,MM
273,-276.8,-95.6,0.0,MM
274,92.8,-94.8,0.0,MM
275,-104.8,-94.8,0.0,MM
276,131.6,-94.0,0.0,MM
277,118.8,-93.6,0.0,MM
278,-93.2,-94.0,0.0,MM
279,144.4,-93.2,0.0,MM
280,81.2,-93.2,0.0,MM
281,-120.4,-93.2,0.0,MM
282,-132.4,-93.2,0.0,MM
283,155.6,-92.4,0.0,MM
284,-82.4,-92.4,0.0,MM
285,-144.0,-92.4,0.0,MM
286,166.8,-91.2,0.0,MM
287,17.2,-91.2,0.0,MM
288,193.2,-90.8,0.0,MM
289,-17.6,-90.8,0.0,MM
290,-156.4,-90.8,0.0,MM
291,206.0,-90.4,0.0,MM
292,179.6,-90.4,0.0,MM
293,70.0,-90.0,0.0,MM
294,-70.8,-89.6,0.0,MM
295,-167.6,-90.4,0.0,MM
296,-180.0,-89.6,0.0,MM
297,-193.2,-90.0,0.0,MM
298,-206.8,-89.2,0.0,MM
299,220.0,-88.4,0.0,MM
300,31.2,-87.6,0.0,MM
301,-32.0,-87.6,0.0,MM
302,-220.0,-87.2,0.0,MM
303,232.4,-86.8,0.0,MM
304,57.6,-86.0,0.0,MM
305,262.8,-84.8,0.0,MM
306,246.0,-85.2,0.0,MM
307,-58.8,-85.6,0.0,MM
308,-233.2,-85.2,0.0,MM
309,280.4,-84.4,0.0,MM
310,102.8,-84.4,0.0,MM
311,114.4,-83.6,0.0,MM
312,91.6,-83.6,0.0,MM
313,-92.4,-83.2,0.0,MM
314,-103.6,-83.6,0.0,MM
315,-115.2,-83.2,0.0,MM
316,-246.8,-83.6,0.0,MM
317,-264.0,-83.6,0.0,MM
318,139.6,-82.4,0.0,MM
319,127.6,-82.8,0.0,MM
320,-280.4,-82.4,0.0,MM
321,296.4,-82.0,0.0,MM
322,80.4,-82.0,0.0,MM
323,44.8,-82.0,0.0,MM
324,-45.2,-82.0,0.0,MM
325,-128.4,-82.0,0.0,MM
326,-140.0,-82.0,0.0,MM
327,150.8,-81.6,0.0,MM
328,22.0,-81.2,0.0,MM
329,-22.4,-81.2,0.0,MM
330,-81.2,-81.2,0.0,MM
331,198.4,-80.4,0.0,MM
332,163.2,-80.0,0.0,MM
333,-152.4,-80.4,0.0,MM
334,-297.2,-80.4,0.0,MM
335,-198.8,-79.6,0.0,MM
336,68.4,-78.8,0.0,MM
337,-164.0,-78.8,0.0,MM
338,211.2,-77.2,0.0,MM
339,34.0,-77.2,0.0,MM
340,-35.2,-77.2,0.0,MM
341,-69.2,-77.6,0.0,MM
342,174.8,-76.0,0.0,MM
343,-212.4,-76.4,0.0,MM
344,-175.6,-75.6,0.0,MM
345,266.4,-74.8,0.0,MM
346,225.2,-74.8,0.0,MM
347,56.4,-74.8,0.0,MM
348,-56.8,-74.8,0.0,MM
349,-226.0,-74.4,0.0,MM
350,100.4,-73.6,0.0,MM
351,112.8,-73.2,0.0,MM
352,-267.2,-73.2,0.0,MM
353,238.0,-72.4,0.0,MM
354,89.6,-72.4,0.0,MM
355,-90.0,-72.4,0.0,MM
356,-102.0,-72.8,0.0,MM
357,-112.4,-72.4,0.0,MM
358,284.0,-71.6,0.0,MM
359,188.4,-71.2,0.0,MM
360,135.2,-71.6,0.0,MM
361,123.2,-71.2,0.0,MM
362,45.6,-71.2,0.0,MM
363,-46.4,-71.2,0.0,MM
364,146.8,-70.8,0.0,MM
365,25.2,-70.8,0.0,MM
366,-124.0,-70.4,0.0,MM
367,-238.4,-70.8,0.0,MM
368,-284.4,-70.8,0.0,MM
369,78.0,-70.0,0.0,MM
370,-25.6,-70.0,0.0,MM
371,-134.8,-70.0,0.0,MM
372,-189.2,-70.0,0.0,MM
373,158.0,-69.2,0.0,MM
374,-78.8,-69.2,0.0,MM
375,-146.0,-69.2,0.0,MM
376,299.6,-68.4,0.0,MM
377,-158.0,-68.4,0.0,MM
378,202.0,-67.6,0.0,MM
379,-203.6,-66.8,0.0,MM
380,-300.4,-66.8,0.0,MM
381,169.6,-66.0,0.0,MM
382,67.6,-66.0,0.0,MM
383,35.6,-66.4,0.0,MM
384,-35.6,-66.0,0.0,MM
385,-67.6,-66.0,0.0,MM
386,-170.4,-65.6,0.0,MM
387,252.4,-64.8,0.0,MM
388,216.0,-64.4,0.0,MM
389,56.4,-64.4,0.0,MM
390,-216.8,-64.4,0.0,MM
391,96.4,-63.6,0.0,MM
392,-56.8,-64.0,0.0,MM
393,-97.2,-63.6,0.0,MM
394,-253.2,-64.0,0.0,MM
395,109.2,-62.8,0.0,MM
396,270.8,-62.0,0.0,MM
397,180.8,-62.0,0.0,MM
398,230.0,-61.2,0.0,MM
399,-108.8,-61.2,0.0,MM
400,119.6,-60.4,0.0,MM
401,45.6,-60.4,0.0,MM
402,-46.4,-60.4,0.0,MM
403,-182.0,-60.4,0.0,MM
404,-270.8,-60.4,0.0,MM
